Object focus data: DateTime.Now, Object Name, Time looked at object
11.54631,Terrain_0_0-20200716 - 154804,10.94944
16.51828,Terrain_0_0-20200716 - 154804,3.694041
17.22139, Part [386022],0.2642614
19.72132,Terrain_0_0-20200716 - 154804,1.546382
21.39695,CrownVic.Body.004 (1),1.469026
21.73867,PavingByFrontDoor,0.3066285
23.1704,PavingByFrontDoor,0.9322069
23.73321, Part [397292],0.5257773
29.27324,Terrain_0_0-20200716 - 154804,5.079196
29.70581,TeleportArea,0.2828132
30.0884,Terrain_0_0-20200716 - 154804,0.3494748
30.73043,Door,0.5942893
31.92537,Door,1.112271
32.34336,Terrain_0_0-20200716 - 154804,0.256144
33.09929,Door,0.6553133
33.49411,HandleCollider,0.3948269
34.12222,HandleCollider,0.5543289
34.86765,HandleCollider,0.5476009
35.73988,Floor Generic 150mm [397464],0.7904504
36.20176,Teleport Area,0.4264683
38.58073,Note 1,2.21414
39.02432,Teleport Area,0.3520613
40.20441,Desk,0.857369
40.81186,Note 2,0.2960452
44.19787,Note 2,3.135372
44.87864,Teleport Area,0.3848553
45.47389, Part [397285],0.3370437
45.95829,Legal paper 1,0.266739
47.05558, Part [397285],0.3827988
47.9949,Note 3,0.3134679
51.27511,Note 3,3.016912
52.20974,Newspaper 1,0.2999254
52.78748,Teleport Area,0.5147433
53.7037, Part [386022],0.5250691
54.27753, Part [397008],0.4474802
54.81181,Teleport Area,0.3061546
56.18531,Teleport Area,0.9697121
56.9553,Door_Sheet001,0.7373538
57.40986, Part [386125],0.4634795
57.91702,Teleport Area,0.4811431
62.57464,Note 4,4.323184
63.49557,Teleport Area,0.4807988
64.29356, Part [409777],0.6516897
64.61952, Part [397006],0.303779
65.05293,Floor Generic 150mm [397521],0.4063919
65.65993,Teleport Area,0.5796525
67.11499,Teleport Area,0.2571284
67.50298,Newspaper 2,0.3620174
68.30904,Teleport Area,0.5243296
68.6424,Sofa,0.2824226
70.50321,Note 5,1.829362
74.76592,Note 5,4.028819
75.53134,Teleport Area,0.4972419
76.69014,French_Door_Slab_-_36"_-_Right_001_Mesh.018,1.00325
77.21439,Teleport Area,0.4281702
77.59806,PorchColliders,0.3603113
78.03677,Teleport Area,0.4049775
79.96723,01_D04_DoorShed,1.530457
84.00955,Note 6,4.016905
85.72517,Terrain_0_0-20200716 - 154804,1.02475
86.27461,Teleport Area,0.428479
87.68271,PorchColliders,0.493181
88.36346,Teleport Area,0.6486548
91.01751,French_Door_Slab_-_36"_-_Right_001_Mesh.018,1.410575
91.61652,Teleport Area,0.2999515
92.6264,UpstairsTrigger,0.3685094
93.71786,Door_Sheet001,1.091849
94.34419,Teleport Area,0.3431867
95.41201,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.4757115
95.87189,Teleport Area,0.4192291
96.35276,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.424809
97.5882,Non-Monolithic Run 50mm Tread 13mm Riser [346429],1.151519
98.86634,Teleport Area Up Hall,0.8218902
99.75826,Door_Sheet001,0.8596818
102.3995,Note 7,2.671079
103.1349,Door_Sheet001,0.4379703
103.9164,Teleport Area Bedroom,0.496345
105.1224,Teleport Area Bedroom,1.13918
105.4174,Bed_Linen,0.2957991
106.085,Teleport Area Bedroom,0.6308699
106.381,Basic Wall Generic - 200mm [373606],0.2710806
107.0357,Teleport Area Bedroom (1),0.2729905
107.9197,Note 8,0.5633844
110.9859,Note 8,2.909137
111.6349,Door_Sheet001,0.6124291
113.695,Teleport Area Office,1.825983
113.9895, Part [392898],0.2606016
114.5848,Note 9,0.5365727
125.0271,Note 9,10.13997
131.4483,Note 9,6.188214
137.4556,Note 9,5.752768
147.57,Note 9,9.726836
149.6526,Note 9,2.057521
200.339,Note 9,50.62176
201.19,Note 9,0.4991841
