Object focus data: DateTime.Now, Object Name, Time looked at object
1.056518,Terrain_0_0-20200716 - 154804,0.982943
12.14983,Terrain_0_0-20200716 - 154804,10.47124
12.78425,Terrain_0_0-20200716 - 154804,0.3006134
13.17112,Terrain_0_0-20200716 - 154804,0.3101968
14.74919,Terrain_0_0-20200716 - 154804,0.559208
15.44555,Terrain_0_0-20200716 - 154804,0.2552618
15.91346,Floor Generic 150mm [397521],0.2688044
16.97864, Part [386032],0.7211533
19.62321,Terrain_0_0-20200716 - 154804,2.385489
20.02557,PavingByFrontDoor,0.3691196
21.40686,PavingByFrontDoor,0.5353103
21.67313,CrownVic.Body.004 (1),0.2673792
24.44062,PavingByFrontDoor,2.734189
26.25672,Terrain_0_0-20200716 - 154804,1.619832
27.1166,Terrain_0_0-20200716 - 154804,0.4331206
27.94888,Door,0.3239229
31.37868,Door,3.019042
32.29517,Door,0.6973832
32.92425,Floor Generic 150mm [397464],0.5928915
33.40048,Teleport Area,0.4259457
39.34261,Note 1,5.010821
39.90992,Teleport Area,0.2715554
40.8706,Teleport Area,0.2713486
42.33263,Note 2,0.8443666
42.87546,Note 2,0.3922168
45.79536,Note 2,2.835023
46.27449, Part [386022],0.2632245
47.16278,kitchen_shelf_1,0.5068411
48.55534,Legal paper 1,0.4057226
49.4073,CornFlakes (1),0.5915774
50.20886,Note 3,0.5453567
55.37014,Note 3,4.72236
56.47921,Teleport Area,0.3686847
57.00819,Floor Generic 150mm [397464],0.4174529
57.45672,Teleport Area,0.419971
58.79826,Teleport Area,0.4773979
60.01585,Door_Sheet001,1.082822
60.67308,Teleport Area,0.3831712
61.59502,Note 4,0.5644877
62.4703,Teleport Area,0.4303332
67.67709,Note 4,4.795424
68.06444, Part [409777],0.357592
68.51572,Teleport Area,0.3517132
69.58634, Part [409777],0.8851763
70.11703,Floor Generic 150mm [397521],0.3014084
72.1684,WoodCoffeeTable,0.577776
73.02687,Note 5,0.5327476
78.93056,Note 5,5.125088
79.24192,Floor Generic 150mm [397521],0.2750092
79.72334,Teleport Area,0.449037
80.81604,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.9331548
81.64319,PorchColliders,0.7982515
82.19288,Teleport Area,0.514038
82.54417,PorchColliders,0.31883
83.01893,Teleport Area,0.4328452
85.2429,01_D04_DoorShed,1.666351
90.94189,Note 6,5.446109
91.44211,PorchColliders,0.449778
91.88076,Teleport Area,0.3985612
92.554,PorchColliders,0.3543847
93.42297,Teleport Area,0.4598731
94.75008, Part [386125],1.209156
95.15495,rug3,0.3649259
95.86012,Teleport Area,0.6662872
96.34512,Door_Sheet001,0.3545935
96.88223,Teleport Area,0.3706002
97.72009,Door_Sheet001,0.8021813
98.04178,Floor Generic 150mm [397464],0.2928496
99.1996,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.3383991
100.0466,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.5932284
100.7469,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.6286473
101.7951,Door_Sheet001,0.8543574
108.5988,Note 7,6.210529
109.3077,Teleport Area Up Hall,0.2631716
110.2046,Door_Sheet001,0.490089
114.1318, Part [411627],3.927394
115.6957,Door_Sheet001,1.527282
117.8932, Part [411627],1.572123
118.365,Teleport Area Up Hall,0.4430527
119.3923, Part [411627],0.9929391
122.1866, Part [411627],2.551247
122.4874, Part [392887],0.2715603
123.2905,Door_Sheet001,0.3529273
124.203,Teleport Area Up Hall,0.7691489
125.3798, Part [411627],0.8938124
125.8025, Part [411627],0.3107906
126.1056,Teleport Area Up Hall,0.2631233
126.7001, Part [411627],0.560118
127.5072,Teleport Area Up Hall,0.7795166
128.6994, Part [411627],0.7490364
130.2973,UpstairsTrigger,1.195438
131.096,UpstairsTrigger,0.7195398
131.5362,Door,0.4082422
134.7183,Non-Monolithic Run 50mm Tread 13mm Riser [346429],1.942716
135.2545,Basic Wall Generic - 200mm [398703],0.3562812
137.0466,Teleport Area Bedroom,1.108584
137.3805,Bed_Linen,0.3012621
138.4551,Teleport Area Bedroom,0.634829
139.3803,Bed_Linen,0.5605353
139.8462,Teleport Area Bedroom,0.2742383
140.622,Teleport Area Bedroom (1),0.3689547
141.4454,Teleport Area Bedroom (1),0.4686374
143.1486,Note 8,0.9197233
148.7388,Note 8,5.476088
149.6284,Door_Sheet001,0.4843738
150.7976,Teleport Area Office,0.8370024
151.17,02_R02_TableAngular,0.3310758
151.9033,Note 8,0.4112363
152.2029,Teleport Area Office,0.2564193
152.6511,Teleport Area Office,0.3743309
153.1236, Part [392898],0.3292981
204.4928,Note 9,51.10398
207.4729,Note 9,2.82577
210.6177,Note 9,2.86426
