Eye-Tracking Data:DateTime.Now, FocusInfo.point,FocusInfo.normal,FocusInfo.transform.name,eyeData.verbose_data.combined.eye_data.gaze_direction_normalized,eyeData.verbose_data.combined.eye_data.gaze_origin_mm,eyeData.verbose_data.left.pupil_diameter_mm,eyeData.verbose_data.right.pupil_diameter_mm
0.04,(103.1, 31.1, -76.4),(0.9, 0.0, 0.4),Terrain_0_0-20200716 - 154804,(0.0, -0.1, 1.0),(0.9, 1.2, -28.7),3.916031,4.205154
0.24,(110.3, 28.7, -54.1),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, -0.1, 1.0),(10.5, -0.2, -25.9),3.739594,3.710663
0.34,(109.6, 28.7, -56.0),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, -0.1, 1.0),(-16.8, -0.7, -26.1),3.724213,3.684326
0.4305571,(109.0, 28.5, -54.7),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, -0.1, 1.0),(-0.1, -0.4, -26.0),3.779037,3.623535
0.5787414,(120.8, 30.0, -43.1),(-0.2, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(32.2, 0.9, -26.4),4.32399,4.142014
0.6199546,(117.8, 31.6, -33.9),(0.1, 0.9, -0.3),Terrain_0_0-20200716 - 154804,(-0.3, 0.1, 0.9),(-1.7, -0.1, -25.8),4.355438,4.379242
0.6547721,(146.8, 37.7, -39.0),(0.3, 0.0, -0.9),Terrain_0_0-20200716 - 154804,(-0.4, 0.1, 0.9),(24.9, 0.3, -25.3),4.405243,4.311615
0.6935229,(146.7, 37.2, -39.1),(0.1, 0.0, -1.0),Terrain_0_0-20200716 - 154804,(-0.3, 0.1, 0.9),(-0.3, -0.1, -25.9),4.322174,4.386017
0.7443987,(121.1, 31.8, -31.7),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.3, 0.1, 1.0),(-18.7, -0.6, -25.4),4.175644,4.201218
0.7899054,(120.8, 31.7, -32.1),(0.1, 1.0, -0.3),Terrain_0_0-20200716 - 154804,(-0.2, 0.1, 1.0),(8.0, 0.2, -26.1),4.266251,4.144775
0.8226753,(122.8, 31.3, -32.8),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-8.9, 0.0, -26.4),4.329529,4.324799
0.8584368,(123.0, 31.3, -32.7),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(1.6, 0.2, -26.5),4.279099,4.166275
0.8900546,(122.9, 31.1, -33.3),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-12.9, 0.0, -26.7),4.248535,4.19986
0.9271992,(123.8, 31.0, -33.7),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-18.6, 0.0, -26.8),4.279449,4.068588
0.960561,(123.5, 31.0, -33.8),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-3.9, 0.2, -26.8),4.265274,4.238678
0.9983749,(123.8, 30.9, -34.0),(0.1, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-4.6, 0.2, -26.8),4.270035,4.219009
1.032592,(124.2, 30.9, -34.1),(0.0, 1.0, -0.2),Terrain_0_0-20200716 - 154804,(-0.1, 0.0, 1.0),(-5.2, 0.2, -26.9),4.287247,4.084473
1.069632,(126.3, 30.7, -37.9),(-0.1, 1.0, 0.1),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(11.4, 0.4, -27.0),4.26767,4.21254
1.101978,(123.8, 30.4, -37.6),(0.0, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(22.3, 0.7, -27.2),4.306488,4.233627
1.139081,(126.0, 30.6, -38.0),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(5.1, 0.2, -26.4),4.364883,4.255783
1.181416,(127.4, 30.8, -38.3),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(4.4, 0.4, -26.7),4.411652,4.186111
1.218955,(126.4, 30.7, -38.1),(-0.1, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(10.7, 0.4, -26.6),4.267365,4.197922
1.256714,(122.1, 30.2, -39.0),(0.0, 1.0, -0.1),Terrain_0_0-20200716 - 154804,(0.0, 0.0, 1.0),(5.8, 0.5, -27.0),4.307297,4.286118
1.293982,(83.8, 25.9, -45.7),(0.0, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.2, 0.1, 1.0),(15.3, 0.9, -27.3),4.314621,4.316422
1.325408,(79.1, 26.1, -48.1),(0.0, 1.0, 0.1),Terrain_0_0-20200716 - 154804,(0.2, 0.1, 1.0),(33.3, 1.3, -27.8),4.399246,4.204987
1.360157,(82.2, 25.9, -47.5),(0.0, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.2, 0.1, 1.0),(-14.4, -0.1, -26.2),4.46376,4.199036
1.391772,(86.1, 25.9, -47.2),(0.0, 1.0, 0.0),Terrain_0_0-20200716 - 154804,(0.2, 0.1, 1.0),(-4.0, 0.1, -26.8),4.352432,4.227264
1.428176,(87.7, 25.9, -47.5),(0.0, 1.0, -0.1),Terrain_0_0-20200716 - 154804,(0.1, 0.0, 1.0),(11.7, 0.5, -27.3),4.271072,4.389801
1.46936,(88.0, 25.9, -48.5),(0.0, 1.0, 0.2),Terrain_0_0-20200716 - 154804,(0.1, 0.0, 1.0),(1.5, 0.2, -26.5),4.237869,4.259094
