Object focus data: DateTime.Now, Object Name, Time looked at object
8.562075,Terrain_0_0-20200716 - 154804,5.213961
12.14705,Terrain_0_0-20200716 - 154804,1.039428
12.7941,Terrain_0_0-20200716 - 154804,0.4017943
13.65236, Part [392898],0.819405
15.60212, Part [392898],0.4252067
16.26748, Part [392898],0.2912429
17.77088, Part [397292],0.8680518
18.30104,Door,0.4010996
18.97635, Part [386032],0.4898798
19.57031, Part [397008],0.3958844
20.43397, Part [392998],0.7616442
21.97168,CrownVic.Body.004 (1),1.008421
23.04386, Part [397292],0.3471717
24.73763, Part [397292],1.031695
25.39214,Terrain_0_0-20200716 - 154804,0.6044199
27.8378,Terrain_0_0-20200716 - 154804,1.089651
29.79688,Terrain_0_0-20200716 - 154804,1.502572
30.59355,Terrain_0_0-20200716 - 154804,0.7007541
32.49504,Terrain_0_0-20200716 - 154804,0.256241
32.80342, Part [386032],0.277032
35.64614,Terrain_0_0-20200716 - 154804,1.120651
36.33677,Terrain_0_0-20200716 - 154804,0.6463827
39.16644,Terrain_0_0-20200716 - 154804,2.108969
39.49422,Terrain_0_0-20200716 - 154804,0.2706184
40.98825,Door,0.5233724
41.28699,HandleCollider,0.2644282
42.11625,Door,0.8002123
43.21026,Floor Generic 150mm [397464],0.3563682
44.09241,Teleport Area,0.2930144
44.96236,Teleport Area,0.2625907
45.93479,Note 1,0.5276878
46.3833,Note 1,0.4405909
47.27145,Floor Generic 150mm [371527],0.2520455
47.98822,Desk,0.4972571
50.06212,Note 2,1.692201
52.2646,CornFlakes (2),0.7903867
53.89637,kitchen_shelf_1,0.2571844
56.27983,CornFlakes (1),2.384006
57.57324,Note 3,1.188984
59.39586,Note 3,1.564236
60.25344, Part [397008],0.3613693
60.72488,Teleport Area,0.3036682
61.53405, Part [397008],0.3153773
62.76917,Teleport Area,0.4840747
63.2699,Door_Sheet001,0.3749673
66.30917,Handle001,2.350659
67.96954,Door_Sheet001,1.633085
68.46834, Part [386125],0.510434
68.8791,Teleport Area,0.2596277
72.13286,Note 4,2.898735
72.73431,Door_Sheet001,0.4201534
73.17788,Teleport Area,0.4437113
74.27066,Door_Sheet001,0.9348661
75.00683,Teleport Area,0.4014351
76.1554,Door_Sheet001,0.3195403
76.66146,Handle001,0.4827475
77.27397,Handle001,0.5398193
77.79823,Door_Sheet001,0.3119645
79.12879,Handle001,1.296675
80.3883,Floor Generic 150mm [397521],0.3527288
81.01125,Table,0.2941672
82.60107,Sofa,0.4290715
83.33009,Note 5,0.708872
84.30132,Note 5,0.862967
84.95245,Floor Generic 150mm [397521],0.291147
85.5224, Part [410751],0.2798018
86.1122,Accent_Lever_Door_Handle_002_Mesh.003,0.2734782
86.80969,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.3390883
87.4948,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.2649602
88.61016,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.8436241
89.20541,Terrain_0_0-20200716 - 154804,0.5745358
90.24558,01_D04_DoorShed,0.286848
90.807,Terrain_0_0-20200716 - 154804,0.5726951
91.23594,Floor Generic 150mm [397387],0.3019016
91.90384,PorchColliders,0.4138902
93.36357,01_D04_DoorShed,0.9357834
94.06513,Note 6,0.6896551
95.3002,01_D04_DoorShed,0.5757989
96.95761,01_D04_DoorShed,1.500702
97.72813,PorchColliders,0.3501742
98.10623,Teleport Area,0.3415823
101.9353,French_Door_Slab_-_36"_-_Right_001_Mesh.018,2.58637
102.8654,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.6935372
103.6283, Part [410751],0.7073609
104.333,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.673954
104.8221,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.4486399
106.307,Floor Generic 150mm [397521],1.264553
106.6056,Teleport Area,0.2626869
107.3538,Teleport Area,0.2508394
108.6064,UpstairsTrigger,0.9380434
109.0181,Floor Generic 150mm [397464],0.3846037
109.7357,Floor Generic 150mm [397521],0.361759
111.4449,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.4282107
112.3819,Basic Wall Generic - 200mm [398703],0.5868021
114.3372,Teleport Area Up Hall,0.81056
116.0351,Door_Sheet001,1.665695
116.6469,Door_Sheet001,0.375698
118.1868,Door_Sheet001,0.7226856
118.863,Handle001,0.3623849
120.2775,Handle001,0.8370125
122.2062,Teleport Area Bedroom,1.92098
123.1873,Basic Wall Generic - 200mm [373606],0.4156263
125.5204,Note 8,1.155721
126.1841,Door_Sheet001,0.4655443
126.8088,Handle001 (1),0.3812545
127.725,Door_Sheet001,0.6591256
129.5831,Handle001 (1),1.160736
131.3484,Teleport Area Office,0.559715
132.5924,Teleport Area Office,1.134142
138.7169,Note 9,5.78405
139.2161,Note 9,0.3383994
171.1082,Note 9,31.61744
188.4951,Note 9,17.26663
189.0161,02_R02_TableAngular,0.2598576
191.5102, Part [392898],2.404977
192.4153,Newspaper 4,0.4207432
