Object focus data: DateTime.Now, Object Name, Time looked at object
1.705891,Terrain_0_0-20200716 - 154804,1.432432
8.939123,Terrain_0_0-20200716 - 154804,3.124466
12.63965,Terrain_0_0-20200716 - 154804,1.949033
13.26213,Terrain_0_0-20200716 - 154804,0.2653651
15.81091, Part [386022],0.2738702
17.77205,Door,0.4362757
18.97006,Door,1.09856
19.70079,CrownVic.Body.004 (1),0.5260888
21.43385,PavingByFrontDoor,1.702201
22.1363,Door,0.6022185
22.50562,Door_Sheet001,0.3314412
23.33441,Door_Sheet001,0.7098107
24.20007,Door,0.8322766
24.57803, Part [397008],0.3405226
31.40624,Terrain_0_0-20200716 - 154804,6.797667
32.50988,Terrain_0_0-20200716 - 154804,1.02776
33.34679,Terrain_0_0-20200716 - 154804,0.6064337
36.99397,Door,2.24328
37.36629,Door,0.2885835
38.82813,Door,0.6821563
39.98994,Floor Generic 150mm [397464],0.6135588
40.42229,Teleport Area,0.3810622
40.98716, Part [397008],0.2960422
41.49049,Teleport Area,0.4647179
42.97898,Note 1,1.42653
43.69868,Teleport Area,0.2717847
44.6026,Desk,0.2556562
45.49548,Note 2,0.4665011
47.2449,kitchen_shelf_1,0.2715501
48.05748,CornFlakes (1),0.4088798
50.12271,Note 3,0.6715799
51.23761,Note 3,0.4753661
51.93396, Part [397008],0.3110152
52.51662,Teleport Area,0.2949895
52.86654,Floor Generic 150mm [397464],0.3247155
53.683,Floor Generic 150mm [397464],0.785577
54.83696,Floor Generic 150mm [371527],0.3544911
56.04987,Floor Generic 150mm [371527],0.4674838
56.95342,Floor Generic 150mm [397464],0.3226945
57.30217,Teleport Area,0.312173
58.11897,Door_Sheet001,0.4000183
59.50582,Door_Sheet001,0.6350704
60.92469,Teleport Area,0.2948446
61.64556, Part [386125],0.3707978
63.70536,Note 4,2.029887
64.64165,Teleport Area,0.3506297
65.82757,Teleport Area,0.7314475
66.97098,Teleport Area,0.7412587
67.42402,Door_Sheet001,0.3113305
69.35456,Handle001,0.7383789
69.94663,Floor Generic 150mm [397521],0.5638038
70.87585,Floor Generic 150mm [397521],0.2990343
72.15308,Sofa,0.6437277
73.33508,Note 5,0.7249027
74.17527,Note 5,0.7267579
74.83713, Part [386138],0.2955607
75.36616,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.3311215
75.95201,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.3555313
76.7497,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.7166633
77.36832,Accent_Lever_Door_Handle_002_Mesh.003,0.2798692
78.51617,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.8451713
79.40956,PorchColliders,0.5706699
80.38837,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.5364689
81.27095,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.6163962
81.76394,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.4720678
83.31316,Terrain_0_0-20200716 - 154804,0.487904
84.00781,Teleport Area,0.2998964
84.77782,Teleport Area,0.2742474
87.16367,01_D04_DoorShed,1.377681
88.10269,Note 6,0.9112983
89.38965,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.4929627
90.47971,Terrain_0_0-20200716 - 154804,0.5008758
92.15333,Teleport Area,0.4157521
92.61372,Table,0.4279618
93.53904, Part [386032],0.4368103
95.44463,Teleport Area,1.791014
96.20964,dr L,0.3468649
96.80906,UpstairsTrigger,0.5725538
97.48762,Teleport Area,0.3768936
99.92603,Basic Wall Generic - 200mm [398703],1.096241
102.6208,Door_Sheet001,2.559424
103.1816,Door_Sheet001,0.4552872
103.7454,Door_Sheet001,0.484011
105.2758,Teleport Area Bedroom,1.355828
105.6734,Bed_Linen,0.3649724
107.1828,Teleport Area Bedroom,1.095279
108.6999,Door_Sheet001,0.699072
109.1391,Note 8,0.3107214
110.2849,Note 8,0.5182039
113.3942,Handle001 (1),2.113835
113.9428,Teleport Area Office,0.517723
115.0725,Teleport Area Office,0.7308762
115.5851, Part [392898],0.5252377
116.4989, Part [392898],0.5337918
117.5221,Note 9,0.8217567
119.0469,Note 9,0.4529791
119.6326, Part [392998],0.4073528
121.129,Note 9,1.474855
131.0614,Note 9,9.865618
138.1053,Note 9,7.008905
144.3305,Note 9,5.998673
149.7884,Note 9,5.413728
161.899,Note 9,11.98951
172.7358,Note 9,10.82872
173.3987, Part [392998],0.4649167
174.2068, Part [392998],0.6925774
175.0246,Teleport Area Office,0.4936841
