Object focus data: DateTime.Now, Object Name, Time looked at object
9.385769,Terrain_0_0-20200716 - 154804,7.640115
10.93875,Terrain_0_0-20200716 - 154804,1.265211
15.10604,Terrain_0_0-20200716 - 154804,3.14125
16.47185,CrownVic.Body.004 (1),1.309399
17.3022,Terrain_0_0-20200716 - 154804,0.7944787
18.30361,Terrain_0_0-20200716 - 154804,0.50879
19.22753,PavingByFrontDoor,0.3919238
24.56129,CrownVic.Body.004 (1),5.180784
25.19941,PavingByFrontDoor,0.60571
25.79825,Door,0.3307658
27.62231,Door,1.56201
30.39919,Terrain_0_0-20200716 - 154804,2.7265
30.86543,_Sp_Tree,0.4417746
34.15435,Terrain_0_0-20200716 - 154804,3.254587
34.59679,PavingByFrontDoor,0.4054458
36.06373,Door,0.584223
36.35663,HandleCollider,0.2569161
37.65311,HandleCollider,0.9306522
39.47579,Floor Generic 150mm [397464],1.476506
40.00755,Teleport Area,0.4992961
40.94063,Floor Generic 150mm [397464],0.295095
41.2833,Teleport Area,0.3457485
46.77582,Note 1,5.120966
48.05198,Teleport Area,0.3707181
48.7461,Floor Generic 150mm [371527],0.663041
49.09462,Desk,0.3218775
50.25954,Note 2,0.7152924
51.63618, Part [386094],0.503418
51.97945,CornFlakes (1),0.3103745
52.55123,Teleport Area,0.3224115
54.88662,CornFlakes (1),1.63669
55.79234,Note 3,0.8712966
57.78325,Note 3,1.569685
58.61436,Floor Generic 150mm [371527],0.4874341
59.17203,Teleport Area,0.5264016
59.99962,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.3138143
60.8201,Floor Generic 150mm [397464],0.5048388
62.14998,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.2660426
62.75111,Teleport Area,0.4242993
63.31588,Door_Sheet001,0.4247688
64.15847,Handle001,0.566924
64.76955,Handle001,0.4337617
66.00162,Handle001,0.965624
66.85595, Part [386125],0.4309318
67.36694,rug3,0.2932177
67.73485,Teleport Area,0.3351221
69.18457,Note 4,1.320752
70.12594,Note 4,0.8304842
71.29636,Teleport Area,0.3113973
72.11135,Teleport Area,0.3023975
72.89127,Door_Sheet001,0.3334922
73.52854,Door_Sheet001,0.445125
74.51084, Part [397006],0.2660487
75.18634,Handle001,0.3894831
75.57304,Door_Sheet001,0.3596626
76.24096,Table,0.5034074
76.54999,Floor Generic 150mm [397521],0.2737963
77.61758,Sofa,0.3377575
78.33034, Part [386138],0.4474848
80.1415,Note 5,1.730847
80.53932,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.4119612
80.91405,Floor Generic 150mm [397521],0.3017981
81.45195,PorchColliders,0.4010028
82.07082,Accent_Lever_Door_Handle_002_Mesh.003,0.2604306
84.38622,PorchColliders,0.8315668
85.12896,Teleport Area,0.2535059
86.05629,Teleport Area,0.2657183
86.49882,01_D04_DoorShed,0.2864993
86.83282,Teleport Area,0.25379
88.37597,01_D04_DoorShed,1.418538
91.25851,Note 6,2.885015
91.90956,Terrain_0_0-20200716 - 154804,0.4625836
92.96787,Terrain_0_0-20200716 - 154804,0.2528258
94.54009,PorchColliders,0.3956123
95.45673,Floor Generic 150mm [397521],0.2848768
95.75768,Teleport Area,0.2682815
97.45397,Teleport Area,0.4319552
98.06483,shkaf 2 m,0.4810771
98.98478,UpstairsTrigger,0.7829447
99.6325,Floor Generic 150mm [397464],0.6143403
100.7612,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.3140729
101.1147,Basic Wall Generic - 200mm [398703],0.3212095
101.8906,Basic Wall Generic - 200mm [398703],0.6914999
103.0532,Door_Sheet001,0.7376013
103.7296,Note 7,0.369992
104.1775,Door_Sheet001,0.4406064
104.9776,Handle001,0.7632512
106.4035,Door_Sheet001,1.421404
106.9807,Teleport Area Bedroom,0.2653206
107.6751,Bed_Linen,0.2523601
108.227, Part [410751],0.2705612
108.9626, Part [399362],0.3272204
109.3945,Teleport Area Bedroom,0.401428
109.7235,Bed_Linen,0.2978545
111.2971,Teleport Area Bedroom (1),1.07533
112.2803,Teleport Area Bedroom (1),0.6816931
112.5947,Door_Sheet001,0.2820982
114.6085,Note 8,1.885507
114.9953,Door_Sheet001,0.3545642
116.2947,Handle001 (1),1.267096
117.1487,Door_Sheet001,0.8223567
118.009,Handle001 (1),0.825225
118.388,Door_Sheet001,0.3373413
119.4056,Handle001 (1),0.9842312
120.6206,Door_Sheet001,1.168018
120.9292,Teleport Area Office,0.2734295
121.4227,02_R02_TableAngular,0.4644023
122.5224,Note 9,0.3764089
123.2306,Note 9,0.3881963
130.6049,Note 9,7.057975
174.7653,Note 9,43.73287
175.0669, Part [392898],0.2723081
175.4318,Teleport Area Office,0.329867
176.7028, Part [392898],1.2439
177.3705,02_R02_TableAngular,0.2780394
179.3581,02_R02_TableAngular,1.932381
179.7366,Legal paper 2 1 (3),0.3585348
