Object focus data: DateTime.Now, Object Name, Time looked at object
10.9558,Terrain_0_0-20200716 - 154804,10.04948
12.38318,Terrain_0_0-20200716 - 154804,0.4325945
13.98013,Terrain_0_0-20200716 - 154804,0.6221844
15.18366,Terrain_0_0-20200716 - 154804,0.4807571
16.84626, Part [386022],0.4651895
17.77307,Door,0.4637405
18.63354,Terrain_0_0-20200716 - 154804,0.3931583
19.04896, Part [386032],0.384046
23.60647,CrownVic.Body.004 (1),4.251207
25.5111,PavingByFrontDoor,1.867608
26.43494,Door,0.6671054
27.94887,Terrain_0_0-20200716 - 154804,1.269085
29.90843,Terrain_0_0-20200716 - 154804,1.894043
30.82786,PavingByFrontDoor,0.680807
31.19754,TeleportArea,0.3333825
31.58645,TeleportArea,0.3011925
32.12568,Terrain_0_0-20200716 - 154804,0.4691691
32.44918,Door,0.2706861
33.18402,HandleCollider,0.7005275
33.94807,Door,0.7323131
35.5203,Floor Generic 150mm [397464],1.004747
36.0736,Teleport Area,0.5139714
36.58833,Floor Generic 150mm [371527],0.2956372
41.37598,Note 1,4.359842
42.17675, Part [397008],0.3273017
43.01565,Floor Generic 150mm [371527],0.4514454
44.62303,Desk,0.523217
46.24068,Note 2,1.115008
49.94735,Note 2,3.510409
50.48713,Note 2,0.3447127
51.05851,Get well 2,0.5233029
51.57327,Get well 2,0.4686879
51.89079,Get well 2,0.2688214
52.39869,Get well 2,0.460162
53.00086,Newspaper 1,0.5219032
53.691, Part [386022],0.3208763
53.99335, Part [386094],0.270114
54.9861,kitchen_shelf_1,0.2939854
55.33585, Part [397285],0.2790133
56.25487,CornFlakes (1),0.7547877
56.73654,Legal paper 1,0.3017518
57.7438, Part [386094],0.4600204
58.57129,Note 3,0.7646899
63.92641,Note 3,5.282797
64.63676, Part [386022],0.5496179
66.90679,Teleport Area,0.2832287
68.86707,Door_Sheet001,1.062564
70.29488, Part [397008],0.7413974
70.86497,Door_Sheet001,0.5099806
72.11505,Handle001,1.227488
73.28214, Part [386125],0.3665768
74.1647,Teleport Area,0.3627456
82.88947,Note 4,8.155026
83.29813, Part [386125],0.3784739
84.22733,Teleport Area,0.2821088
84.62178, Part [397008],0.260009
85.24736,Teleport Area,0.3653481
86.22665,Teleport Area,0.3557193
87.75533,Handle001,1.153273
88.23092,Floor Generic 150mm [397521],0.2704645
88.7197,Table,0.4597221
89.10907,Floor Generic 150mm [397521],0.3634399
89.43996,Teleport Area,0.2966331
89.87345,Table,0.2943443
91.62691,Teleport Area,1.460476
92.05107, Part [386138],0.2844202
93.41545,Note 5,1.054757
94.80104,Note 5,1.28364
97.92316,Note 5,3.033709
98.95705,Note 5,0.4922012
99.32357,Note 5,0.2548146
100.1886,Table,0.3761306
101.4039,Floor Generic 150mm [397521],0.5781847
101.9071, Part [397006],0.4697853
103.554,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.8223336
104.3995,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.2772112
104.9867,Accent_Lever_Door_Handle_002_Mesh.003,0.3535281
106.8982,PorchColliders,1.676046
107.2629,Teleport Area,0.3432204
107.6221,Terrain_0_0-20200716 - 154804,0.2555659
107.9459,PorchColliders,0.2946845
108.6252,Teleport Area,0.2799259
110.4958,01_D04_DoorShed,1.257693
111.1247,Teleport Area,0.2971592
112.5096,01_D04_DoorShed,1.246148
120.8233,Note 6,8.198872
121.2256, Part [386094],0.3024653
122.8893,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.4277084
123.313,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.2885966
123.7874,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.4419462
124.1225,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.2725366
124.9746,PorchColliders,0.6223864
126.7526,Teleport Area,0.5740965
127.4258,Door_Sheet001,0.5664096
128.0295,Teleport Area,0.4718992
128.354,Floor Generic 150mm [397521],0.3040951
129.6525,UpstairsTrigger,1.055584
129.9432, Part [397008],0.2553234
131.2794,Basic Wall Generic - 200mm [398703],0.2931537
132.1979,Basic Wall Generic - 200mm [398703],0.6888995
133.7536,Door_Sheet001,1.488172
136.0204,Note 7,1.967085
137.4975,Handle001,0.7332243
138.2634,Door_Sheet001,0.7328343
140.185,Teleport Area Bedroom,1.064109
140.8947,Bed_Linen,0.6858758
142.6302, Part [399362],0.7195621
143.7047,Teleport Area Bedroom,0.8225348
144.1628,Basic Wall Generic - 200mm [373606],0.4229739
145.1183,Teleport Area Bedroom (1),0.4562477
145.5117,Door_Sheet001,0.3195476
146.2157,Note 8,0.7116116
149.4196,Note 8,3.03283
149.7131, Part [399412],0.2564873
150.5023,Note 8,0.749647
152.2274,Handle001 (1),1.313882
153.0967,02_R02_TableAngular,0.5689676
153.933, Part [392898],0.2592591
154.902,02_R02_TableAngular,0.6676089
155.6634,Teleport Area Office,0.4074387
156.2448,02_R02_TableAngular,0.548129
156.7011, Part [392898],0.4334699
158.2398,Note 9,1.540246
170.9624,Note 9,12.06679
171.4059,Note 9,0.3869157
205.7713,Note 9,33.46841
207.1412, Part [392898],1.341894
208.6151, Part [392898],0.6999963
208.9358,Newspaper 4,0.2916775
