Object focus data: DateTime.Now, Object Name, Time looked at object
16.44629,Terrain_0_0-20200716 - 154804,15.30894
17.27767,Terrain_0_0-20200716 - 154804,0.4601265
17.77682, Part [386032],0.3306644
18.23877, Part [386032],0.393354
19.38449,Terrain_0_0-20200716 - 154804,1.021203
19.80832, Part [386032],0.3899221
20.27375, Part [386032],0.3657138
22.19913,Terrain_0_0-20200716 - 154804,1.887542
22.90716,PavingByFrontDoor,0.5131087
24.01177,CrownVic.Body.004 (1),1.071695
26.07102, Part [386032],0.5975951
26.80161,Terrain_0_0-20200716 - 154804,0.6953087
27.63409, Part [386032],0.5005427
29.38909,Terrain_0_0-20200716 - 154804,1.644055
31.25588,Door,0.3581462
32.6165,Door,1.195745
33.02977,Door,0.3488162
33.86549,HandleCollider,0.8219338
35.08247,HandleCollider,1.11919
36.99423,HandleCollider,1.877095
37.48668,HandleCollider,0.4285576
38.03458,HandleCollider,0.4562788
39.63842,HandleCollider,1.496563
40.24067,Door,0.5705251
40.78331,Door,0.3766945
41.25154,Floor Generic 150mm [397464],0.433969
41.76241,Teleport Area,0.4848014
42.52209,Teleport Area,0.2729418
43.28413,Teleport Area,0.3989542
43.8782,Teleport Area,0.2598875
44.19973,Desk,0.3036975
44.94584,Note 2,0.720032
45.92821, Part [386022],0.5127785
46.53972,Teleport Area,0.3207285
47.84649,Legal paper 1,0.4675093
49.49869,CornFlakes (1),1.496534
50.48371,Note 3,0.7312704
51.39677, Part [397008],0.2566339
52.23537,Teleport Area,0.5315634
52.91023,Teleport Area,0.2892039
53.49776,Floor Generic 150mm [397464],0.3050722
53.89432,Teleport Area,0.360801
54.27848,Door_Sheet001,0.2528912
54.99786,Door_Sheet001,0.2956329
55.45476,Handle001,0.4211895
55.91873,Floor Generic 150mm [397297],0.3665681
57.29683,Note 4,0.6232615
58.26643, Part [409777],0.29422
59.10374,Teleport Area,0.3705744
59.50347,Floor Generic 150mm [397464],0.2517417
59.85203,Teleport Area,0.3180054
60.13601,Floor Generic 150mm [397464],0.2505875
60.84956,Floor Generic 150mm [397464],0.2998747
61.16218,Teleport Area,0.2915977
63.43301,Handle001,1.702431
63.90063,Floor Generic 150mm [397521],0.3777162
64.94061,WoodCoffeeTable,0.3566782
65.75775,Sofa,0.3202109
66.9978,Note 5,0.4974665
67.64458, Part [386138],0.3831184
69.05753,Teleport Area,0.5252216
70.23555,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.3691624
71.15775,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.404064
72.09189,PorchColliders,0.7075568
72.7538,Teleport Area,0.2889186
73.10103,PorchColliders,0.3577635
73.83036,Teleport Area,0.6966089
74.24052,PorchColliders,0.3536108
75.72123,PorchColliders,0.3339919
76.51206,Teleport Area,0.7622662
77.9649,01_D04_DoorShed,1.311098
78.25855,Note 6,0.2657267
79.01657,Terrain_0_0-20200716 - 154804,0.470533
79.37093,Note 6,0.3299403
81.42496,Teleport Area,0.2647449
83.36526,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.3431867
83.84251,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.2877301
85.2149,shkaf 2 m,0.5518267
85.84768,dr R,0.6065856
87.02496,dr L,0.3316866
87.65726,UpstairsTrigger,0.6000966
88.22852,Teleport Area,0.3137128
88.82877,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.3270656
89.438,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.4969668
90.54293,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.9965357
91.97829,Non-Monolithic Run 50mm Tread 13mm Riser [346429],1.411826
93.01487,Basic Wall Generic - 200mm [398703],0.6163859
93.68464,Teleport Area Up Hall,0.3327813
94.23853,Door_Sheet001,0.5213363
96.73535,Door_Sheet001,1.275701
97.38734,Teleport Area Bedroom,0.3070798
98.81453,Teleport Area Bedroom,0.3623145
99.40144,Bed_Linen,0.553492
99.99722,Teleport Area Bedroom,0.5424195
100.5879,Teleport Area Bedroom (1),0.3160679
101.2889,Teleport Area Bedroom (1),0.2974492
102.6829,Door_Sheet001,0.6035804
103.036,Handle001 (1),0.3265008
104.5423,Teleport Area Office,0.4526319
105.2893,Door_Sheet001,0.7555577
106.0304,Teleport Area Office,0.3112469
106.3949,02_R02_TableAngular,0.2639986
106.776,Teleport Area Office,0.3781942
107.835,Teleport Area Office,0.4452183
108.2929,02_R02_TableAngular,0.4250718
110.5078,Teleport Area Office,1.968915
112.6381,Teleport Area Office,1.505893
113.0938,02_R02_TableAngular,0.4221839
113.5968,Note 9,0.4770458
115.5518,Note 9,1.20994
115.9013, Part [392898],0.3229129
116.4322,Teleport Area Office,0.3011764
117.6234,Note 9,1.160086
157.6748,Note 9,39.42388
158.8514,Note 9,0.8716276
159.4631, Part [392998],0.341197
