Object focus data: DateTime.Now, Object Name, Time looked at object
16.45064,Terrain_0_0-20200716 - 154804,15.37911
16.849,Terrain_0_0-20200716 - 154804,0.3160755
17.29525, Part [386022],0.3963721
17.7276, Part [397292],0.3767458
18.06428,Door,0.2579243
18.70543, Part [386032],0.4912194
20.42716,CrownVic.Body.004 (1),1.246824
23.62212,Door,2.778775
27.25749,Terrain_0_0-20200716 - 154804,3.455441
28.86547,TeleportArea,0.5469947
29.55767,Door,0.2555079
30.02526,HandleCollider,0.4345124
30.36591,Door,0.3094299
31.18609,Floor Generic 150mm [397464],0.5466487
31.52682,Teleport Area,0.2971777
32.3538,Floor Generic 150mm [397464],0.8286786
33.62236,Note 1,0.6075087
35.51199,Note 1,1.831902
36.74629,Note 1,0.8989943
37.53086,Teleport Area,0.4986817
38.04095,Floor Generic 150mm [371527],0.4875705
38.94279,Desk,0.581331
39.7198,Note 2,0.3398439
40.14542,Note 2,0.2901819
42.09586,Note 2,1.294062
43.01468,Teleport Area,0.3488455
44.24099,kitchen_shelf_1,0.380788
44.71696,Teleport Area,0.2750049
45.61724,CornFlakes (1),0.3665032
47.55459,Note 3,1.603213
48.00477,Note 3,0.3415319
48.50269,Floor Generic 150mm [371527],0.2935168
48.79755,Teleport Area,0.2731996
49.70303,Teleport Area,0.6242081
50.54784,Door_Sheet001,0.723155
53.06977,Handle001,2.459797
53.82705,Floor Generic 150mm [397464],0.3019655
54.15877,Teleport Area,0.2990339
55.27732,Teleport Area,0.5379962
56.29842,Handle001,0.667623
57.14294,rug3,0.6130158
58.01733, Part [386125],0.4238721
58.4271,Teleport Area,0.3701844
60.28327,Note 4,1.446101
61.50986,Teleport Area,0.4684374
62.31025,Teleport Area,0.276391
63.19676,Floor Generic 150mm [397464],0.3324415
63.6923,Teleport Area,0.4746594
64.08475,Door_Sheet001,0.2583926
64.3693,Handle001,0.2582788
65.28102,Handle001,0.8578678
66.15069,Floor Generic 150mm [397521],0.7128869
66.43069,Teleport Area,0.2579802
67.63282,Teleport Area,0.4681609
69.99111,Teleport Area,1.041557
70.73734,Note 5,0.4170039
72.38059,Note 5,1.497461
73.25822,Teleport Area,0.3252389
75.07034,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.8996237
76.07983,French_Door_Slab_-_36"_-_Left_001_Mesh.009,0.7747996
76.508,PorchColliders,0.4067757
76.89407,PorchColliders,0.3294738
79.61858,Teleport Area,0.6554555
81.05359,01_D04_DoorShed,1.334753
81.9669,Teleport Area,0.2521065
82.47544, Part [410751],0.4765027
84.62009, Part [386125],1.410473
86.10094, Part [410751],1.448687
87.94294,French_Door_Slab_-_36"_-_Right_001_Mesh.018,0.8328425
88.48758,PorchColliders,0.3599004
88.78334,Teleport Area,0.2599054
90.38861,French_Door_Slab_-_36"_-_Left_001_Mesh.009,1.454849
90.76227,Floor Generic 150mm [397521],0.3078241
91.19105,Teleport Area,0.3883022
92.32813,UpstairsTrigger,0.3019952
92.61427,dr L,0.2586248
92.96209,UpstairsTrigger,0.323391
93.27525,Floor Generic 150mm [397464],0.2732659
94.21992,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.5924888
95.24356,Non-Monolithic Run 50mm Tread 13mm Riser [346429],0.8284795
95.67213,Basic Wall Generic - 200mm [398703],0.3937141
96.50421,Door_Sheet001,0.7686927
97.11031,Handle001,0.3748998
97.8063,Teleport Area Bedroom,0.5000673
98.06937,Door_Sheet001,0.2625819
98.83642,Door_Sheet001,0.4965506
99.86909,Door_Sheet001,0.4012165
100.4035,Teleport Area Up Hall,0.2675763
101.6207,Teleport Area Bedroom,0.7965672
102.9789,Bed_Linen,0.7572654
105.0208,Teleport Area Bedroom,0.8287713
105.6034,Teleport Area Bedroom (1),0.4731543
105.9961,02_R01_Stool 60 Artek,0.357999
106.4446,Door_Sheet001,0.3780127
107.1035,Door_Sheet001,0.3396985
108.2262,Note 8,1.091283
109.2074,Basic Wall Generic - 200mm [373606],0.8866062
109.5143,Note 8,0.2841777
110.0322, Part [399412],0.3093188
114.527,Handle001 (1),4.459454
114.9513,Door_Sheet001,0.395905
116.4924,Handle001 (1),1.501878
117.6899,Teleport Area Office,0.5983573
118.0215,02_R02_TableAngular,0.306208
118.4044,02_R02_TableAngular,0.3023975
118.9144,Teleport Area Office,0.4680468
119.2342,02_R02_TableAngular,0.2809458
120.6885,Teleport Area Office,0.3988369
122.2126,Note 9,1.14386
159.5622,Note 9,37.21503
161.1375,02_R02_TableAngular,0.4459148
161.6971, Part [392898],0.5326399
162.2947,02_D04_DoorBalcony,0.5389157
162.9059,02_D04_DoorBalcony,0.3665114
163.3287, Part [398424],0.257304
